id-col,tweet_id,screen_name,tweet,polaridade,words,filtered,tf,features,label,rawPrediction,probability,prediction
0,"1,11568E+18",leiamoneytimes,"Investidor estrangeiro amplia saldo positivo na B3 em R$ 294,2 milhões https://t.co/fJ0ylCmTBG",1,"['investidor', 'estrangeiro', 'amplia', 'saldo', 'positivo', 'na', 'b3', 'em', 'r$', '294,2', 'milhões', 'https://t.co/fj0ylcmtbg']","['investidor', 'estrangeiro', 'amplia', 'saldo', 'positivo', 'na', 'b3', 'em', 'r$', '294,2', 'milhões', 'https://t.co/fj0ylcmtbg']","(65536,[8618,9935,19384,31870,35403,37144,46615,52354,53391,58033,60875,64607],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8618,9935,19384,31870,35403,37144,46615,52354,53391,58033,60875,64607],[6.280395838960195,0.0,5.87493073085203,6.280395838960195,4.003128553950439,2.4196661279195992,0.0,0.0,3.5395558150349937,1.766792846497594,2.4249431850204433,6.057252287645985])",1.0,"[-370.5767947503392,-299.31399692016385,-377.413049825573,-435.2066733328151,-435.6063835787849,-435.59016534753107,-435.6278100073827,-435.61690795166993,-435.59162409875074,-435.6075638174582,-433.82571281020626,-433.7963249129396,-435.5960926024721,-435.620258078014,-435.59016534753107,-435.5943221958506]","[1.1245017544719186e-31,1.0,1.207847991070762e-34,9.606396387749514e-60,6.441226169746787e-60,6.54654318471786e-60,6.30468175059123e-60,6.373791778471089e-60,6.537000368851879e-60,6.433628469949473e-60,3.8221175313195965e-59,3.9361082992818885e-59,6.507854925135957e-60,6.352474498450768e-60,6.54654318471786e-60,6.519386679522048e-60]",1.0
1,1000720076507623427,colunadobroad,Santander e Webmotors apostam em inteligência artificial para vender mais @estadao:  https://t.co/Ca8U3u33FF https://t.co/jv7mXImWas,1,"['santander', 'e', 'webmotors', 'apostam', 'em', 'inteligência', 'artificial', 'para', 'vender', 'mais', '@estadao:', '', 'https://t.co/ca8u3u33ff', 'https://t.co/jv7mximwas']","['santander', 'e', 'webmotors', 'apostam', 'em', 'inteligência', 'artificial', 'para', 'vender', 'mais', '@estadao:', '', 'https://t.co/ca8u3u33ff', 'https://t.co/jv7mximwas']","(65536,[6399,17222,18462,19208,20643,20848,29126,30818,41380,41399,49649,52572,56286,58033],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[6399,17222,18462,19208,20643,20848,29126,30818,41380,41399,49649,52572,56286,58033],[5.87493073085203,1.5182219041624387,0.0,5.101740842618549,6.280395838960195,3.1340907069268296,1.9204870095399322,0.0,2.3053980343706604,2.8383764627777843,0.0,1.4441139320087168,0.0,1.766792846497594])",1.0,"[-256.4631334999789,-234.93935281549832,-291.9101315478655,-363.53143730547737,-363.9321098722479,-363.9186036332033,-358.7300381285051,-363.94087437275067,-363.91981845388085,-363.93309275289624,-358.68809256990994,-362.1240600581522,-361.86525704536615,-363.9436642951858,-363.9186036332033,-363.9220653785809]","[4.4909768754747977e-10,0.9999999995509024,1.8109446080320924e-25,1.4228767708760014e-56,9.531415555954788e-57,9.661022413267319e-57,1.731364296169817e-54,9.448242477189072e-57,9.649293129404223e-57,9.5220519144784e-57,1.8055319668092192e-54,5.812774319564144e-56,7.529743498968694e-56,9.421919350344848e-57,9.661022413267319e-57,9.627636234151761e-57]",1.0
2,1001415575879462913,colunadobroad,Pedro Parente ‘segura’ processo de escolha do novo CEO da BRF @estadao:  https://t.co/1wUbHBEBXE https://t.co/S43LvUWZZG,0,"['pedro', 'parente', '‘segura’', 'processo', 'de', 'escolha', 'do', 'novo', 'ceo', 'da', 'brf', '@estadao:', '', 'https://t.co/1wubhbebxe', 'https://t.co/s43lvuwzzg']","['pedro', 'parente', '‘segura’', 'processo', 'de', 'escolha', 'novo', 'ceo', 'da', 'brf', '@estadao:', '', 'https://t.co/1wubhbebxe', 'https://t.co/s43lvuwzzg']","(65536,[6160,11887,18466,24833,25775,28851,34218,36449,41380,44461,46257,49899,52572,53232],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[6160,11887,18466,24833,25775,28851,34218,36449,41380,44461,46257,49899,52572,53232],[4.958639998977875,5.720780051024772,5.87493073085203,3.6777061535158113,0.0,4.055772287435861,0.0,0.44193679431211436,2.3053980343706604,0.0,1.0492872221056082,5.268794927281715,1.4441139320087168,0.0])",0.0,"[-270.942508364555,-275.24855691918805,-329.27675860869,-392.5099332174052,-392.63032485143714,-392.8956140102318,-392.64961695615676,-391.7330095910802,-392.89692745270133,-392.74953617570804,-391.7391774373317,-392.8994000656122,-392.9009508409826,-392.00811071335517,-392.8956140102318,-392.89935678764886]","[0.9866927350317497,0.01330726496825028,4.5702393315146253e-26,1.5780477405394934e-53,1.3990547664351685e-53,1.07305281362816e-53,1.372322742971011e-53,3.431893336788313e-53,1.0716443456639716e-53,1.2418292789366416e-53,3.410791090937559e-53,1.0689978572380828e-53,1.0673413664446152e-53,2.6065069192693586e-53,1.07305281362816e-53,1.0690441222892986e-53]",0.0
3,1002158463865180163,colunadobroad,BB se une à startup Farm para fomentar ecossistema de novatas @estadao:  https://t.co/MqEqu7bnlL https://t.co/jYuyimIhdv,1,"['bb', 'se', 'une', 'à', 'startup', 'farm', 'para', 'fomentar', 'ecossistema', 'de', 'novatas', '@estadao:', '', 'https://t.co/mqequ7bnll', 'https://t.co/jyuyimihdv']","['bb', 'se', 'une', 'à', 'startup', 'farm', 'para', 'fomentar', 'ecossistema', 'de', 'novatas', '@estadao:', '', 'https://t.co/mqequ7bnll', 'https://t.co/jyuyimihdv']","(65536,[6568,16117,29126,35373,36449,38227,40365,40729,41380,44212,50583,52572,57466,57946,65376],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[6568,16117,29126,35373,36449,38227,40365,40729,41380,44212,50583,52572,57466,57946,65376],[6.057252287645985,4.055772287435861,1.9204870095399322,0.0,0.44193679431211436,0.0,3.2599709528158325,3.5078071167204135,2.3053980343706604,0.0,0.0,1.4441139320087168,0.0,0.0,0.0])",1.0,"[-168.9431138619405,-166.40641678393135,-205.58240833895258,-261.58577743419806,-255.13542370214677,-261.9781698383924,-261.720674342906,-250.13948308147152,-261.97903770994964,-255.2542745262753,-259.9398728994931,-261.9806715161248,-259.92341351333624,-261.83433003836967,-261.9781698383924,-261.9806429197345]","[0.07332528660088607,0.926674713399114,8.974501964307314e-18,4.276182096658915e-42,2.7065074261547576e-39,2.888300231231197e-42,3.736553525402096e-42,4.000540455070497e-37,2.885794645032446e-42,2.4032168809942705e-39,2.2174990786588776e-41,2.8810836653828846e-42,2.254299779966775e-41,3.335117709117892e-42,2.888300231231197e-42,2.881166055153828e-42]",1.0
4,1002535111198461952,colunadobroad,Cubo Itaú firma parceria com montadora francesa Groupe PSA @estadao:  https://t.co/CdOiJefwXA https://t.co/WEpI1gPoSk,1,"['cubo', 'itaú', 'firma', 'parceria', 'com', 'montadora', 'francesa', 'groupe', 'psa', '@estadao:', '', 'https://t.co/cdoijefwxa', 'https://t.co/wepi1gposk']","['cubo', 'itaú', 'firma', 'parceria', 'com', 'montadora', 'francesa', 'groupe', 'psa', '@estadao:', '', 'https://t.co/cdoijefwxa', 'https://t.co/wepi1gposk']","(65536,[8717,13439,20046,22873,23314,31488,37179,37955,38426,41380,48526,52572,60392],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8717,13439,20046,22873,23314,31488,37179,37955,38426,41380,48526,52572,60392],[1.9046388172999087,0.0,0.0,6.057252287645985,0.0,5.36410510708604,0.0,2.93049175168559,0.0,2.3053980343706604,0.0,1.4441139320087168,0.0])",1.0,"[-161.846995266606,-147.01204155956583,-181.03456866847515,-228.46008954390896,-228.86257559570885,-228.8541800819738,-228.8736671797891,-228.8680236322873,-228.85493521770408,-228.8631865569066,-228.8715697039206,-228.85635679375284,-228.85724837897178,-228.86975785541532,-228.8541800819738,-228.85633191201097]","[3.6079566354273265e-07,0.9999996392043347,1.6757300569336473e-15,4.241915782307207e-36,2.8363810200069732e-36,2.8602941368097586e-36,2.8050948885614574e-36,2.8209703295792797e-36,2.8581350418154083e-36,2.8346486305269355e-36,2.810984682089615e-36,2.8540748720996237e-36,2.8515313551794555e-36,2.8160823772153645e-36,2.8602941368097586e-36,2.8541458873373423e-36]",1.0
5,1002606200616206338,EstadaoEconomia,Governo envia ao Congresso projeto de lei sobre as distribuidoras da Eletrobras https://t.co/PwCxqSnsdd https://t.co/GbpyZSrSUx,0,"['governo', 'envia', 'ao', 'congresso', 'projeto', 'de', 'lei', 'sobre', 'as', 'distribuidoras', 'da', 'eletrobras', 'https://t.co/pwcxqsnsdd', 'https://t.co/gbpyzsrsux']","['governo', 'envia', 'ao', 'congresso', 'projeto', 'de', 'lei', 'sobre', 'distribuidoras', 'da', 'eletrobras', 'https://t.co/pwcxqsnsdd', 'https://t.co/gbpyzsrsux']","(65536,[4119,9346,15165,18750,20141,30535,35183,36449,37902,43101,45238,46257,60572],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[4119,9346,15165,18750,20141,30535,35183,36449,37902,43101,45238,46257,60572],[3.774869901969459,0.0,6.057252287645985,5.87493073085203,4.370853334075757,2.3388140312905046,0.0,0.44193679431211436,4.200954297280359,6.280395838960195,0.0,1.0492872221056082,0.0])",0.0,"[-277.984456540015,-298.6284815430998,-333.7708014807257,-387.9841078506772,-388.10456024901396,-388.3700206524925,-388.1236261168565,-387.20713386415275,-388.3713186923335,-388.2237591114082,-387.21322938059404,-388.3737623091224,-388.37529489868143,-380.55548919231126,-388.3700206524925,-388.373719538676]","[0.999999998917535,1.0824649837315032e-09,5.919679938891643e-25,1.689500886645278e-48,1.4977751199507514e-48,1.148573054971183e-48,1.4694892417026382e-48,3.67446351058535e-48,1.1470831285866297e-48,1.3294720269995337e-48,3.652133882290515e-48,1.1442835189749497e-48,1.1425311451791045e-48,2.8442418054876383e-45,1.148573054971183e-48,1.144332461538487e-48]",0.0
6,1003286229826359296,colunadobroad,Bônus da Petrobras se aproximam da petroleira argentina YPF @estadao:  https://t.co/LCQ25ZJ7Fx https://t.co/uhIxoGSJKs,0,"['bônus', 'da', 'petrobras', 'se', 'aproximam', 'da', 'petroleira', 'argentina', 'ypf', '@estadao:', '', 'https://t.co/lcq25zj7fx', 'https://t.co/uhixogsjks']","['bônus', 'da', 'petrobras', 'se', 'aproximam', 'da', 'petroleira', 'argentina', 'ypf', '@estadao:', '', 'https://t.co/lcq25zj7fx', 'https://t.co/uhixogsjks']","(65536,[1715,9181,14210,16117,38869,41380,44569,46257,52572,54518,60235,65422],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(65536,[1715,9181,14210,16117,38869,41380,44569,46257,52572,54518,60235,65422],[0.0,0.0,0.0,4.055772287435861,0.0,2.3053980343706604,0.0,2.0985744442112164,1.4441139320087168,5.36410510708604,0.0,2.7394365149228808])",0.0,"[-128.7885104713901,-130.3092708831687,-142.70388397520145,-206.2937742677206,-200.1240547568904,-206.6890011254562,-203.09340293855357,-197.75559224274394,-206.68968082311878,-200.1246046830578,-204.33128723217024,-206.69096038370486,-206.69176289955075,-201.5841737047251,-206.6890011254562,-206.6909379876493]","[0.8206498183389612,0.17934943900459885,7.426564399121479e-07,1.7949381675515849e-34,8.580737788533656e-32,1.208939726725517e-34,4.405072908134146e-33,9.165049848600957e-31,1.2081182924141812e-34,8.576020313538305e-32,1.2774584484055132e-33,1.2065734204532979e-34,1.2056055145959944e-34,1.9925215582207384e-32,1.208939726725517e-34,1.2066004432412553e-34]",0.0
7,1003962746080243712,colunadobroad,Pedido de demissão de Pedro Parente salta buscas por Petrobras no Google @estadao:  https://t.co/C23yJmuMvL https://t.co/0rVjGKzLDe,0,"['pedido', 'de', 'demissão', 'de', 'pedro', 'parente', 'salta', 'buscas', 'por', 'petrobras', 'no', 'google', '@estadao:', '', 'https://t.co/c23yjmumvl', 'https://t.co/0rvjgkzlde']","['pedido', 'de', 'demissão', 'de', 'pedro', 'parente', 'salta', 'buscas', 'por', 'petrobras', 'google', '@estadao:', '', 'https://t.co/c23yjmumvl', 'https://t.co/0rvjgkzlde']","(65536,[1349,8872,11887,14804,18466,34658,36449,41380,42491,50218,52572,56916,62466,65422],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[1349,8872,11887,14804,18466,34658,36449,41380,42491,50218,52572,56916,62466,65422],[0.0,3.2599709528158325,5.720780051024772,0.0,5.87493073085203,0.0,0.8838735886242287,2.3053980343706604,0.0,5.181783550292085,1.4441139320087168,0.0,5.268794927281715,2.7394365149228808])",0.0,"[-261.4878648784529,-257.98577639686073,-298.6018696115021,-369.01627574721323,-368.85709094628646,-369.40316090372363,-365.26207012704367,-369.4257738459085,-369.40439439081496,-369.09438623191346,-369.4315662265487,-369.40671648422835,-369.4081728566584,-365.49198168855554,-369.40316090372363,-369.4066758407968]","[0.02925286551369832,0.9707471344863016,2.2272089218766515e-18,5.8502298093722035e-49,6.859713966700992e-49,3.973295247709522e-49,2.4980648654180334e-47,3.884455600503937e-49,3.968397260734318e-49,5.41065663297292e-49,3.862020394440786e-49,3.959192962349637e-49,3.953431099601558e-49,1.9849720169693907e-47,3.973295247709522e-49,3.959353880807842e-49]",1.0
8,1004094645993984001,colunadobroad,Fusão de Minerva e BRF seria uma das estratégias avaliadas por Parente @estadao:  https://t.co/0MXoVCFd6R https://t.co/i2qYvhcw7U,0,"['fusão', 'de', 'minerva', 'e', 'brf', 'seria', 'uma', 'das', 'estratégias', 'avaliadas', 'por', 'parente', '@estadao:', '', 'https://t.co/0mxovcfd6r', 'https://t.co/i2qyvhcw7u']","['fusão', 'de', 'minerva', 'e', 'brf', 'seria', 'uma', 'das', 'estratégias', 'avaliadas', 'por', 'parente', '@estadao:', '', 'https://t.co/0mxovcfd6r', 'https://t.co/i2qyvhcw7u']","(65536,[8872,11858,17222,18302,18466,19013,21851,23666,24833,28297,36449,41380,45514,46522,52572,64483],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8872,11858,17222,18302,18466,19013,21851,23666,24833,28297,36449,41380,45514,46522,52572,64483],[3.2599709528158325,0.0,1.5182219041624387,0.0,5.87493073085203,3.2123429038265776,0.0,4.894101477840304,3.6777061535158113,0.0,0.44193679431211436,2.3053980343706604,0.0,5.027632870464827,1.4441139320087168,0.0])",0.0,"[-231.6037827118822,-243.44965517422625,-277.01757373910493,-357.6732941177938,-357.7941534729563,-358.0607607535888,-356.4095456807252,-358.0826659997726,-358.06195563739374,-357.91326887441386,-348.00421701741817,-358.0642050584318,-358.0656158521425,-349.24176532256337,-358.0607607535888,-358.06416568697955]","[0.9999928319695223,7.168030477622456e-06,1.892509383554037e-20,1.772979634752261e-55,1.5711411234064343e-55,1.2034529761645347e-55,6.273974075915871e-55,1.1773776780191335e-55,1.2020158484646014e-55,1.3947103845594672e-55,2.8049852180522556e-51,1.1993150474850537e-55,1.1976242543195287e-55,8.137109811496715e-52,1.2034529761645347e-55,1.199362267189739e-55]",0.0
9,1004693764554838016,colunadobroad,"Por ora, investidor chinês é afastado de fusão de Minerva com BRF @estadao:  https://t.co/lJbHk0MKTV https://t.co/gyltDYrOrt",0,"['por', 'ora,', 'investidor', 'chinês', 'é', 'afastado', 'de', 'fusão', 'de', 'minerva', 'com', 'brf', '@estadao:', '', 'https://t.co/ljbhk0mktv', 'https://t.co/gyltdyrort']","['por', 'ora,', 'investidor', 'chinês', 'é', 'afastado', 'de', 'fusão', 'de', 'minerva', 'com', 'brf', '@estadao:', '', 'https://t.co/ljbhk0mktv', 'https://t.co/gyltdyrort']","(65536,[246,8618,8717,8872,13102,24833,26427,31471,36449,38449,41326,41380,46522,52572,64483],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[246,8618,8717,8872,13102,24833,26427,31471,36449,38449,41326,41380,46522,52572,64483],[3.905490084386523,6.280395838960195,1.9046388172999087,3.2599709528158325,0.0,3.6777061535158113,0.0,0.0,0.8838735886242287,0.0,0.0,2.3053980343706604,5.027632870464827,1.4441139320087168,0.0])",0.0,"[-215.8898896229798,-214.8851688489396,-257.9461368102744,-324.76502163343974,-316.1080896474506,-325.1541752576623,-324.6223366287536,-318.9629116393059,-325.1552581455648,-324.84360439509425,-316.6807712032906,-325.15729672941654,-325.1585752900898,-318.64191214359613,-325.1541752576623,-325.1572610482322]","[0.268014273891004,0.7319857261089959,1.456672231217677e-19,1.3940837844460262e-48,8.015796210351681e-45,9.446732201529195e-49,1.6078894507151217e-48,4.614378652124487e-46,9.436507986348598e-49,1.2887266688725267e-48,4.5209970930275435e-45,9.417290468466982e-49,9.4052575852502e-49,6.3609435165481285e-46,9.446732201529195e-49,9.417626494538937e-49]",1.0
